Latitude,Longitude,daerah,year,projected_population
4.569375399539441,102.26568229999998,"Jerantut, Pahang",2027,103866.31497157298
4.569375399539441,102.26568229999998,"Jerantut, Pahang",2028,104449.5078514659
4.569375399539441,102.26568229999998,"Jerantut, Pahang",2029,105104.743888194
4.569375399539441,102.26568229999998,"Jerantut, Pahang",2030,105476.10611633504
4.569375399539441,102.26568229999998,"Jerantut, Pahang",2031,106465.34963883928
4.569375399539441,102.26568229999998,"Jerantut, Pahang",2032,106963.5282880578
4.569375399539441,102.26568229999998,"Jerantut, Pahang",2033,107762.20476912346
4.569375399539441,102.26568229999998,"Jerantut, Pahang",2034,108638.20882568385
4.569375399539441,102.26568229999998,"Jerantut, Pahang",2035,109212.1474733691
4.569375399539441,102.26568229999998,"Jerantut, Pahang",2036,110172.24553306532
4.569375399539441,102.26568229999998,"Jerantut, Pahang",2037,110870.3270184916
4.569375399539441,102.26568229999998,"Jerantut, Pahang",2038,111623.31812588785
4.569375399539441,102.26568229999998,"Jerantut, Pahang",2039,112525.54626491932
4.569375399539441,102.26568229999998,"Jerantut, Pahang",2040,113181.45071071756
4.569375399539441,102.26568229999998,"Jerantut, Pahang",2041,114056.89619323236
4.569375399539441,102.26568229999998,"Jerantut, Pahang",2042,114835.26634989944
4.569375399539441,102.26568229999998,"Jerantut, Pahang",2043,115567.09635056792
4.569375399539441,102.26568229999998,"Jerantut, Pahang",2044,116444.27678615156
4.569375399539441,102.26568229999998,"Jerantut, Pahang",2045,117159.88830325018
4.569375399539441,102.26568229999998,"Jerantut, Pahang",2046,117978.43731908251
4.569375399539441,102.26568229999998,"Jerantut, Pahang",2047,118788.8701301074
4.569375399539441,102.26568229999998,"Jerantut, Pahang",2048,119525.41005893676
4.569375399539441,102.26568229999998,"Jerantut, Pahang",2049,120370.70945261743
4.569375399539441,102.26568229999998,"Jerantut, Pahang",2050,121127.1400429778
4.569375399539441,102.26568229999998,"Jerantut, Pahang",2051,121916.20370389636
4.569375399539441,102.26568229999998,"Jerantut, Pahang",2052,122733.81750341198
4.569375399539441,102.26568229999998,"Jerantut, Pahang",2053,123485.03179566032
4.569375399539441,102.26568229999998,"Jerantut, Pahang",2054,124304.24716969817
3.7985636996056087,103.32199,"Kuantan, Pahang",2025,586234.1007108765
3.7985636996056087,103.32199,"Kuantan, Pahang",2026,594150.420752834
3.7985636996056087,103.32199,"Kuantan, Pahang",2027,596730.4329179
3.7985636996056087,103.32199,"Kuantan, Pahang",2028,600080.9796258331
3.7985636996056087,103.32199,"Kuantan, Pahang",2029,603845.4270693299
3.7985636996056087,103.32199,"Kuantan, Pahang",2030,605978.969048061
3.7985636996056087,103.32199,"Kuantan, Pahang",2031,611662.3488387731
3.7985636996056087,103.32199,"Kuantan, Pahang",2032,614524.4736874305
3.7985636996056087,103.32199,"Kuantan, Pahang",2033,619113.0119679896
3.7985636996056087,103.32199,"Kuantan, Pahang",2034,624145.8109081673
3.7985636996056087,103.32199,"Kuantan, Pahang",2035,627443.1904079145
3.7985636996056087,103.32199,"Kuantan, Pahang",2036,632959.1243366668
3.7985636996056087,103.32199,"Kuantan, Pahang",2037,636969.7264950702
3.7985636996056087,103.32199,"Kuantan, Pahang",2038,641295.7941872074
3.7985636996056087,103.32199,"Kuantan, Pahang",2039,646479.2551402827
3.7985636996056087,103.32199,"Kuantan, Pahang",2040,650247.5427126404
3.7985636996056087,103.32199,"Kuantan, Pahang",2041,655277.1325456873
3.7985636996056087,103.32199,"Kuantan, Pahang",2042,659749.0073848538
3.7985636996056087,103.32199,"Kuantan, Pahang",2043,663953.5007592527
3.7985636996056087,103.32199,"Kuantan, Pahang",2044,668993.0582059206
3.7985636996056087,103.32199,"Kuantan, Pahang",2045,673104.3735107541
3.7985636996056087,103.32199,"Kuantan, Pahang",2046,677807.0830342011
3.7985636996056087,103.32199,"Kuantan, Pahang",2047,682463.1635190637
3.7985636996056087,103.32199,"Kuantan, Pahang",2048,686694.7162675362
3.7985636996056087,103.32199,"Kuantan, Pahang",2049,691551.111464327
3.7985636996056087,103.32199,"Kuantan, Pahang",2050,695896.9395971689
3.7985636996056087,103.32199,"Kuantan, Pahang",2051,700430.2505181213
3.7985636996056087,103.32199,"Kuantan, Pahang",2052,705127.5870576736
3.7985636996056087,103.32199,"Kuantan, Pahang",2053,709443.4466311085
3.7985636996056087,103.32199,"Kuantan, Pahang",2054,714149.9845008345
3.9999999995874584,101.99999999999999,"Lipis, Pahang",2025,103593.23214541023
3.9999999995874584,101.99999999999999,"Lipis, Pahang",2026,104992.12241612191
3.9999999995874584,101.99999999999999,"Lipis, Pahang",2027,105448.035504135
3.9999999995874584,101.99999999999999,"Lipis, Pahang",2028,106040.109493874
3.9999999995874584,101.99999999999999,"Lipis, Pahang",2029,106705.3237443594
3.9999999995874584,101.99999999999999,"Lipis, Pahang",2030,107082.34123485791
3.9999999995874584,101.99999999999999,"Lipis, Pahang",2031,108086.64937953227
3.9999999995874584,101.99999999999999,"Lipis, Pahang",2032,108592.41450564245
3.9999999995874584,101.99999999999999,"Lipis, Pahang",2033,109403.25357271418
3.9999999995874584,101.99999999999999,"Lipis, Pahang",2034,110292.5977925724
3.9999999995874584,101.99999999999999,"Lipis, Pahang",2035,110875.27662270976
3.9999999995874584,101.99999999999999,"Lipis, Pahang",2036,111849.99546504096
3.9999999995874584,101.99999999999999,"Lipis, Pahang",2037,112558.7076329864
3.9999999995874584,101.99999999999999,"Lipis, Pahang",2038,113323.1656100384
3.9999999995874584,101.99999999999999,"Lipis, Pahang",2039,114239.13326387748
3.9999999995874584,101.99999999999999,"Lipis, Pahang",2040,114905.02610225134
3.9999999995874584,101.99999999999999,"Lipis, Pahang",2041,115793.80324186028
3.9999999995874584,101.99999999999999,"Lipis, Pahang",2042,116584.02675116694
3.9999999995874584,101.99999999999999,"Lipis, Pahang",2043,117327.00137113496
3.9999999995874584,101.99999999999999,"Lipis, Pahang",2044,118217.53988441784
3.9999999995874584,101.99999999999999,"Lipis, Pahang",2045,118944.04903883269
3.9999999995874584,101.99999999999999,"Lipis, Pahang",2046,119775.0632681041
3.9999999995874584,101.99999999999999,"Lipis, Pahang",2047,120597.83769554053
3.9999999995874584,101.99999999999999,"Lipis, Pahang",2048,121345.59396846373
3.9999999995874584,101.99999999999999,"Lipis, Pahang",2049,122203.7659417436
3.9999999995874584,101.99999999999999,"Lipis, Pahang",2050,122971.7157796729
